M,S,M_dB,S_dB
1.6755220199452,0.0470335283741563,4.48300279535482,-26.5518488001805
3.07268956824393,0.041249622038453,9.75037371987688,-27.6916005288829
4.71736373993131,0.0447087335071314,13.4739872902504,-26.9921526499016
3.63537868461446,0.0478386040359085,11.2109931296095,-26.4044300370598
3.31760726778793,0.045712734390956,10.4164994750716,-26.7992559962717
3.70870834801279,0.0351768295661175,11.3844536370283,-29.074866108252
3.60694621860136,0.0237331306402404,11.1427933363102,-32.4928994032862
3.13843558907334,0.0179760883271702,9.93426439880057,-34.9060961327528
1.96897818963905,0.0177181715057931,5.88481810974183,-35.0316219762008
1.32629506300764,0.0249230411401377,2.45280306027023,-32.0679793126511
1.59045699347305,0.0571309756846261,4.03043860247515,-24.8625671796219
3.63298836880715,0.135576647614208,11.2052801489914,-17.3563021807178
